,matchID,date,matchday,season.id,matchDay,winner,duration,homeTeamFt,awayTeamFt,homeTeamHt,awayTeamHt,homeTeamID,homeTeam,awayTeamID,awayTeam
0,235686,2018-08-24 18:30:00,1.0,155,34,HOME_TEAM,REGULAR,3,1,1,0,5,FC Bayern München,2,TSG 1899 Hoffenheim
1,235688,2018-08-25 13:30:00,1.0,155,34,DRAW,REGULAR,1,1,0,0,12,SV Werder Bremen,8,Hannover 96
2,235689,2018-08-25 13:30:00,1.0,155,34,HOME_TEAM,REGULAR,1,0,1,0,9,Hertha BSC,14,1. FC Nürnberg
3,235691,2018-08-25 13:30:00,1.0,155,34,AWAY_TEAM,REGULAR,1,2,1,0,24,TSV Fortuna 95 Düsseldorf,16,FC Augsburg
4,235692,2018-08-25 13:30:00,1.0,155,34,AWAY_TEAM,REGULAR,0,2,0,1,17,SC Freiburg,19,Eintracht Frankfurt
5,235693,2018-08-25 13:30:00,1.0,155,34,HOME_TEAM,REGULAR,2,1,1,0,11,VfL Wolfsburg,6,FC Schalke 04
6,235690,2018-08-25 16:30:00,1.0,155,34,HOME_TEAM,REGULAR,2,0,0,0,18,Borussia Mönchengladbach,3,Bayer 04 Leverkusen
7,235694,2018-08-26 13:30:00,1.0,155,34,HOME_TEAM,REGULAR,1,0,0,0,15,1. FSV Mainz 05,10,VfB Stuttgart
8,235687,2018-08-26 16:00:00,1.0,155,34,HOME_TEAM,REGULAR,4,1,3,1,4,BV Borussia 09 Dortmund,721,RB Leipzig
9,235699,2018-08-31 18:30:00,2.0,155,34,DRAW,REGULAR,0,0,0,0,8,Hannover 96,4,BV Borussia 09 Dortmund
10,235695,2018-09-01 13:30:00,2.0,155,34,AWAY_TEAM,REGULAR,1,2,0,1,19,Eintracht Frankfurt,12,SV Werder Bremen
11,235698,2018-09-01 13:30:00,2.0,155,34,DRAW,REGULAR,1,1,0,1,14,1. FC Nürnberg,15,1. FSV Mainz 05
12,235700,2018-09-01 13:30:00,2.0,155,34,AWAY_TEAM,REGULAR,1,3,1,1,3,Bayer 04 Leverkusen,11,VfL Wolfsburg
13,235701,2018-09-01 13:30:00,2.0,155,34,HOME_TEAM,REGULAR,3,1,0,1,2,TSG 1899 Hoffenheim,17,SC Freiburg
14,235702,2018-09-01 13:30:00,2.0,155,34,DRAW,REGULAR,1,1,1,0,16,FC Augsburg,18,Borussia Mönchengladbach
15,235696,2018-09-01 16:30:00,2.0,155,34,AWAY_TEAM,REGULAR,0,3,0,1,10,VfB Stuttgart,5,FC Bayern München
16,235703,2018-09-02 13:30:00,2.0,155,34,DRAW,REGULAR,1,1,0,0,721,RB Leipzig,24,TSV Fortuna 95 Düsseldorf
17,235697,2018-09-02 16:00:00,2.0,155,34,AWAY_TEAM,REGULAR,0,2,0,1,6,FC Schalke 04,9,Hertha BSC
