,matchID,date,status,matchday,stage,group,lastUpdated,referees,season.id,season.startDate,season.endDate,matchDay,odds.msg,winner,duration,homeTeamFt,awayTeamFt,homeTeamHt,awayTeamHt,score.extraTime.homeTeam,score.extraTime.awayTeam,score.penalties.homeTeam,score.penalties.awayTeam,homeTeamID,homeTeam,awayTeamID,awayTeam
0,235183,2018-08-10 18:00:00,FINISHED,1.0,REGULAR_SEASON,Regular Season,2019-04-13T17:30:48Z,"[{'id': 43861, 'name': 'Dennis Higler', 'nationality': None}, {'id': 43860, 'name': 'Joost van Zuilen', 'nationality': None}, {'id': 14764, 'name': 'Johan Balder', 'nationality': None}, {'id': 56920, 'name': 'Stan Teuben', 'nationality': None}, {'id': 43899, 'name': 'Danny Makkelie', 'nationality': None}]",156,2018-08-10,2019-05-12,34,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,2,3,1,3,,,,,684,PEC Zwolle,673,SC Heerenveen
1,235184,2018-08-11 16:30:00,FINISHED,1.0,REGULAR_SEASON,Regular Season,2019-04-13T17:30:48Z,"[{'id': 43858, 'name': 'Serdar Gözübüyük', 'nationality': None}, {'id': 43859, 'name': 'Dave Goossens', 'nationality': None}, {'id': 43901, 'name': 'Bas van Dongen', 'nationality': None}, {'id': 17117, 'name': 'Laurens Gerrets', 'nationality': None}, {'id': 15152, 'name': 'Pol van Boekel', 'nationality': None}]",156,2018-08-10,2019-05-12,34,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,1,1,0,0,,,,,678,AFC Ajax,671,Heracles Almelo
2,235185,2018-08-11 16:30:00,FINISHED,1.0,REGULAR_SEASON,Regular Season,2019-04-13T17:30:48Z,"[{'id': 17141, 'name': 'Rob Dieperink', 'nationality': None}, {'id': 56915, 'name': 'Richard Polman', 'nationality': None}, {'id': 56926, 'name': 'Patrick Langkamp', 'nationality': None}, {'id': 80087, 'name': 'J. van der Laan', 'nationality': None}, {'id': 43902, 'name': 'Kevin Blom', 'nationality': None}]",156,2018-08-10,2019-05-12,34,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,1,0,1,,,,,672,Willem II Tilburg,668,VVV Venlo
3,235186,2018-08-11 18:45:00,FINISHED,1.0,REGULAR_SEASON,Regular Season,2019-04-13T17:30:48Z,"[{'id': 56905, 'name': 'Bas Nijhuis', 'nationality': None}, {'id': 15153, 'name': 'Rob van de Ven', 'nationality': None}, {'id': 15154, 'name': 'Jan de Vries', 'nationality': None}, {'id': 56904, 'name': 'Edwin van de Graaf', 'nationality': None}, {'id': 43861, 'name': 'Dennis Higler', 'nationality': None}]",156,2018-08-10,2019-05-12,34,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,4,0,1,0,,,,,674,PSV,676,FC Utrecht
4,235187,2018-08-11 18:45:00,FINISHED,1.0,REGULAR_SEASON,Regular Season,2019-04-13T17:30:48Z,"[{'id': 56902, 'name': 'Siemen Mulder', 'nationality': None}, {'id': 56907, 'name': 'Johan Hubers', 'nationality': None}, {'id': 56906, 'name': 'Cristian Dobre', 'nationality': None}, {'id': 80090, 'name': 'Marc Nagtegaal', 'nationality': None}, {'id': 9561, 'name': 'Allard Lindhout', 'nationality': None}]",156,2018-08-10,2019-05-12,34,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,1,1,1,0,,,,,670,SBV Excelsior,1920,Fortuna Sittard
5,235188,2018-08-12 10:15:00,FINISHED,1.0,REGULAR_SEASON,Regular Season,2019-04-13T17:30:48Z,"[{'id': 56908, 'name': 'Richard Martens', 'nationality': None}, {'id': 43718, 'name': 'Nicky Siebert', 'nationality': None}, {'id': 56913, 'name': 'Erik Kleinjan', 'nationality': None}, {'id': 17139, 'name': 'Clay Ruperti', 'nationality': None}, {'id': 56902, 'name': 'Siemen Mulder', 'nationality': None}]",156,2018-08-10,2019-05-12,34,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,1,2,0,2,,,,,680,ADO Den Haag,1914,FC Emmen
6,235189,2018-08-12 12:30:00,FINISHED,1.0,REGULAR_SEASON,Regular Season,2019-04-13T17:30:48Z,"[{'id': 9561, 'name': 'Allard Lindhout', 'nationality': None}, {'id': 14765, 'name': 'Rens Bluemink', 'nationality': None}, {'id': 56903, 'name': 'Roy de Nas', 'nationality': None}, {'id': 80301, 'name': 'Luca Cantineau', 'nationality': None}, {'id': 43902, 'name': 'Kevin Blom', 'nationality': None}]",156,2018-08-10,2019-05-12,34,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,5,1,2,1,,,,,679,SBV Vitesse,677,FC Groningen
7,235190,2018-08-12 12:30:00,FINISHED,1.0,REGULAR_SEASON,Regular Season,2019-04-13T17:30:48Z,"[{'id': 15152, 'name': 'Pol van Boekel', 'nationality': None}, {'id': 9560, 'name': 'Erwin Zeinstra', 'nationality': None}, {'id': 43847, 'name': 'Charles Schaap', 'nationality': None}, {'id': 56910, 'name': 'Martin van den Kerkhof', 'nationality': None}, {'id': 56904, 'name': 'Edwin van de Graaf', 'nationality': None}]",156,2018-08-10,2019-05-12,34,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,2,0,1,0,,,,,1913,VBV De Graafschap,675,Feyenoord Rotterdam
8,235191,2018-08-12 14:45:00,FINISHED,1.0,REGULAR_SEASON,Regular Season,2019-04-13T17:30:48Z,"[{'id': 43899, 'name': 'Danny Makkelie', 'nationality': None}, {'id': 43874, 'name': 'Mario Diks', 'nationality': None}, {'id': 56924, 'name': 'Rogier Honig', 'nationality': None}, {'id': 17127, 'name': 'Ingmar Oostrom', 'nationality': None}, {'id': 56912, 'name': 'Jeroen Manschot', 'nationality': None}]",156,2018-08-10,2019-05-12,34,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,5,0,3,0,,,,,682,AZ,681,NAC Breda
9,235192,2018-08-17 18:00:00,FINISHED,2.0,REGULAR_SEASON,Regular Season,2019-04-13T17:30:48Z,"[{'id': 56912, 'name': 'Jeroen Manschot', 'nationality': None}, {'id': 43717, 'name': 'Richard Brondijk', 'nationality': None}, {'id': 56916, 'name': 'Terry Hoekstra', 'nationality': None}, {'id': 56917, 'name': 'Erwin Blank', 'nationality': None}, {'id': 43858, 'name': 'Serdar Gözübüyük', 'nationality': None}]",156,2018-08-10,2019-05-12,34,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,1,0,1,,,,,677,FC Groningen,672,Willem II Tilburg
