HomeTeam,MatchesHome,GoalsHome,AVGHome,AwayTeam,MatchesAway,GoalsAway,AVGAway
Leicester City,20,13,1.54,Birmingham City,16,21,0.76
Sheffield Wednesday,14,15,0.93,Manchester City,75,27,2.78
Tottenham Hotspur,47,23,2.04,Norwich City,9,12,0.75
Mirandes,1,1,1.0,Real Sociedad,34,20,1.7
Ascoli,20,10,2.0,Chievo,10,10,1.0
Spezia,19,10,1.9,Pescara,12,9,1.33
Juventus,37,16,2.31,Milan,14,12,1.17
Bayer Leverkusen,23,16,1.44,1. FC Union Berlin,21,11,1.91
Eintracht Frankfurt,36,17,2.12,Werder Bremen,23,11,2.09
SC Weiche Flensburg,19,9,2.11,Heider SV,10,8,1.25
Bonner SC,7,6,1.17,SV Lippstadt 08,4,5,0.8
TUS Haltern,8,6,1.33,ROT Weiss Essen,18,10,1.8
Lyon,24,15,1.6,Paris Saint-Germain,44,15,2.93
FC Utrecht,17,8,2.12,Ajax Amsterdam,36,15,2.4
Kilmarnock,12,12,1.0,Aberdeen,16,14,1.14
Livingston,15,13,1.15,Celtic,31,15,2.07
Motherwell,19,14,1.36,Ross County,10,11,0.91
Rangers,47,17,2.76,Hamilton Academical,9,11,0.82
St. Mirren,11,11,1.0,St. Johnstone,7,9,0.78
Arbroath,13,12,1.08,Dunfermline Athletic,13,12,1.08
Brechin City,15,11,1.36,Annan Athletic,14,12,1.17
FC Bayern Munich,26,10,2.6,Gnk Dinamo Zagreb,3,3,1.0
FC RB Salzburg,10,3,3.33,Derby County,16,18,0.89
FK Crvena Zvezda,23,14,1.64,FC Midtjylland,19,13,1.46
Udinese,30,15,2.0,Cjarlins Muzane,0,0,nan
Sarpsborg 08,10,7,1.43,Stroemmen,11,7,1.57
Denmark,13,4,3.25,Norway,30,6,5.0
Germany,32,6,5.33,Sweden,21,6,3.5
New Zealand,1,1,1.0,Belgium,19,6,3.17
Portugal,9,3,3.0,Italy,24,9,2.67
AaB,12,7,1.71,FC Koebenhavn,14,13,1.08
Austria Lustenau,12,9,1.33,FC Wacker Innsbruck,8,6,1.33
Winterthur,6,8,0.75,FC Bavois,23,3,7.67
Luzern,16,12,1.33,Young Boys,30,16,1.88
AEK Athens,22,10,2.2,Aris Thessaloniki,10,12,0.83
PAOK Thessaloniki FC,22,10,2.2,Olympiacos,35,17,2.06
Antalyaspor,15,10,1.5,Alanyaspor,17,9,1.89
CS Fola Esch,15,6,2.5,FC Muhlenbach Blue Boys,6,6,1.0
F91 Dudelange,22,10,2.2,FC Progres Niederkorn,27,9,3.0
FC Differdange 03,11,7,1.57,Una Strassen,8,5,1.6
FC Rodange 91,9,7,1.29,Union Titus Petange,14,6,2.33
FC Victoria Rosport,6,6,1.0,AS Jeunesse Esch,13,8,1.62
Racing FC Union Luxembourg,20,8,2.5,US Hostert,7,7,1.0
US Mondorf les Bains,8,6,1.33,FC Etzella Ettelbruck,7,7,1.0
Sigma Olomouc,18,10,1.8,Jablonec,15,10,1.5
Slovacko,14,8,1.75,Slovan Liberec,13,9,1.44
Viktoria Plzen,20,11,1.82,Mlada Boleslav,11,9,1.22
